gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
977477263	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS226141347	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	WWT Caerlaverock Wetlands Centre	Scotland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.976616	-3.478846							2007-12-06	6	12	2007	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS226141347				CC_BY_4_0		obsr221472			2025-02-05T03:50:05.905Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
976262016	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS223068753	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-12-29	29	12	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS223068753				CC_BY_4_0		obsr422887			2025-02-05T03:49:52.238Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975707124	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS222544703	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-12-24	24	12	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS222544703				CC_BY_4_0		obsr422887			2025-02-05T03:49:49.608Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
975006068	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS221731902	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-12-17	17	12	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS221731902				CC_BY_4_0		obsr422887			2025-02-05T03:49:46.169Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
974120004	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS220691194	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-12-07	7	12	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS220691194				CC_BY_4_0		obsr422887			2025-02-05T03:49:42.662Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
971568742	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS217651218	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-11-14	14	11	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS217651218				CC_BY_4_0		obsr422887			2025-02-05T00:31:14.434Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
970893041	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS217062724	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-11-09	9	11	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS217062724				CC_BY_4_0		obsr422887			2025-02-05T03:49:28.746Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
970516226	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS216463138	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-11-05	5	11	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS216463138				CC_BY_4_0		obsr422887			2025-02-05T03:49:26.946Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
970385299	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS216186478	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	WWT Caerlaverock Wetlands Centre	Scotland	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.976616	-3.478846							2013-11-03	3	11	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS216186478				CC_BY_4_0		obsr422887			2025-02-05T03:49:26.077Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
970327599	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS216051957	Animalia	Chordata	Aves	Charadriiformes	Charadriidae	Pluvialis	Pluvialis apricaria		SPECIES	Pluvialis apricaria (Linnaeus, 1758)	Pluvialis apricaria		GB	Solway Coast	England	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	54.92976	-3.323669							2013-11-02	2	11	2013	2480332	2480332	HUMAN_OBSERVATION	CLO	EBIRD	OBS216051957				CC_BY_4_0		obsr422887			2025-02-05T03:49:25.582Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
